,company,title
0,Scalable Capital,Senior Marketing Data Analyst (m/f/x)
1,Zalando,Marketing Analyst (Media Analytics) (all genders)
2,ING Deutschland,Marketing Data Analyst – Product Area Marketing Analytics & Pricing (w/m/d)
3,Peak Ace AG,Junior Digital Analyst (m/w/d)
4,Almedia,Junior Marketing Analyst (f/m/d)
5,tink,CRM Analyst (all genders)
6,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax)
7,Löwenstark Digital Group,(Junior) Marketing Analyst (m/w/d)
8,GetYourGuide,"Senior Data Analyst, Business Analytics (Supply Acquisition)"
9,Capgemini,Business Analyst Data & AI Life Sciences (w/m/d)
10,Peak Ace AG,Junior Digital Marketing Analyst (m/w/d)
11,momox,(Senior) Marketing Analyst - CRM (m/f/d)
12,Lovehoney Group,(Senior) Email Marketing Analyst
13,Deutsche Rentenversicherung Bund,Businessanalyst*in (m/w/div)
14,FYTE,Conversion Analyst (m/w/d)
15,KoRo,(Senior) Marketing Analyst (m/f/d)
16,Adaptive Business Group,Sr. Digital Analyst
17,JustWatch,Senior Campaign Analyst
18,Peak Ace AG,Digital Marketing Analyst (m/w/d)
19,KoRo,(Senior) Marketing Analyst (m/f/d)
20,Adepto Technical Recruitment Limited,Fully Remote Business Analyst - Logistics Experience
21,Contorion,Senior Marketing Analyst (m/f/d)
22,Agoda,"Business Data Analyst (Bangkok Based, relocation provided)"
23,simplesurance GmbH,Digital Business Analyst (all genders)
24,ImmoScout24,Senior Analyst (d/f/m) Marketing Science
25,lawpilots,Business AnalystIn
26,Delivery Hero,Business Analyst (all genders)
27,GETEC Group,Business Analyst Controlling (w/m/d)
28,Scout24 Group,Senior Analyst (d/f/m) Marketing Science
29,Contorion,Senior Marketing Analyst (m/f/d)
30,Springer Nature Group,(Senior) Analyst Strategy & Market Intelligence
31,flaconi,Senior Marketing Analyst (m/f/d)
32,MEININGER Hotels,Business Analyst (f/m/d)
33,ImmoScout24,Senior Analyst (d/f/m) Marketing Science
34,Verve Group,Business Analyst (f/m/d)
35,Moyyn,Business Analyst (m/w/d)-43_CL_27_2
36,Verve Group,Business Analyst CEO Office (w/m/d)
