,joblinks
0,https://de.linkedin.com/jobs/view/senior-marketing-data-analyst-m-f-x-at-scalable-capital-3879603647?position=1&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=xhXBQsL%2B0CgtjPy8KZZ2MA%3D%3D&trk=public_jobs_jserp-result_search-card
1,https://de.linkedin.com/jobs/view/marketing-analyst-media-analytics-all-genders-at-zalando-3870845471?position=2&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=0m067nROvw4IOSFolcmqkA%3D%3D&trk=public_jobs_jserp-result_search-card
2,https://de.linkedin.com/jobs/view/marketing-data-analyst-%E2%80%93-product-area-marketing-analytics-pricing-w-m-d-at-ing-deutschland-3860511977?position=3&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=5Fo%2Fgv%2FyGklRLGGxZyVVxA%3D%3D&trk=public_jobs_jserp-result_search-card
3,https://de.linkedin.com/jobs/view/junior-digital-analyst-m-w-d-at-peak-ace-ag-3837972343?position=4&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=vNw%2Be2%2FWDqKf7p59mPnsZA%3D%3D&trk=public_jobs_jserp-result_search-card
4,https://de.linkedin.com/jobs/view/junior-marketing-analyst-f-m-d-at-almedia-3840697508?position=5&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=CFW9kXhalXGZU%2BYp9Rt%2Fmw%3D%3D&trk=public_jobs_jserp-result_search-card
5,https://de.linkedin.com/jobs/view/crm-analyst-all-genders-at-tink-3845691711?position=6&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=IxgjkgeN6KWtImKxAAFysA%3D%3D&trk=public_jobs_jserp-result_search-card
6,https://de.linkedin.com/jobs/view/senior-data-analyst-get-a-30%25-salary-increase-pay-0%25-tax-at-puffy-3811000459?position=7&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=0sCdFxfxNU0ZQph0Ce7vXw%3D%3D&trk=public_jobs_jserp-result_search-card
7,https://de.linkedin.com/jobs/view/junior-marketing-analyst-m-w-d-at-loewenstark-online-marketing-gmbh-3866741772?position=8&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=1DHJwgu4BdQeOUDPqFZM8w%3D%3D&trk=public_jobs_jserp-result_search-card
8,https://de.linkedin.com/jobs/view/senior-data-analyst-business-analytics-supply-acquisition-at-getyourguide-3857987085?position=9&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=vtJYfG22ntoG41lPBZ12ZA%3D%3D&trk=public_jobs_jserp-result_search-card
9,https://de.linkedin.com/jobs/view/business-analyst-data-ai-life-sciences-w-m-d-at-capgemini-3760808449?position=10&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=U9MaS%2Bt6juvIGSvc1AwTyQ%3D%3D&trk=public_jobs_jserp-result_search-card
10,https://de.linkedin.com/jobs/view/junior-digital-marketing-analyst-m-w-d-at-peak-ace-ag-3872652411?position=11&pageNum=0&refId=tIm89zJ%2BKQ5VnY8FoMTPSQ%3D%3D&trackingId=xGrY0071xGhpNR14KNB7SA%3D%3D&trk=public_jobs_jserp-result_search-card
